file	url	year	months	day	hours	minutes	seconds	db	frequency	duration
event20230218_081505_37.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_081505_37.jpg width="700" height="400">	2023	02	18	08	15	05	-54.1	2089	0.3
event20230218_083857_38.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_083857_38.jpg width="700" height="400">	2023	02	18	08	38	57	-61.8	2077.3	0.2
event20230218_084346_39.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_084346_39.jpg width="700" height="400">	2023	02	18	08	43	46	-58.5	2077	0.3
event20230218_085055_40.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_085055_40.jpg width="700" height="400">	2023	02	18	08	50	55	-55.1	2077.1	0.2
event20230218_085648_41.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_085648_41.jpg width="700" height="400">	2023	02	18	08	56	48	-50.6	2047.2	0.4
event20230218_090551_42.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_090551_42.jpg width="700" height="400">	2023	02	18	09	05	51	-60.6	2058	0.1
event20230218_090951_43.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_090951_43.jpg width="700" height="400">	2023	02	18	09	09	51	-59.1	2072.9	0.4
event20230218_093632_44.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_093632_44.jpg width="700" height="400">	2023	02	18	09	36	32	-59.1	2023.7	0.1
event20230218_094044_45.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_094044_45.jpg width="700" height="400">	2023	02	18	09	40	44	-51.1	2049.8	6
event20230218_094256_46.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_094256_46.jpg width="700" height="400">	2023	02	18	09	42	56	-63	2077.3	0.1
event20230218_095740_47.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_095740_47.jpg width="700" height="400">	2023	02	18	09	57	40	-58.2	2070.2	0.2
event20230218_100712_48.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_100712_48.jpg width="700" height="400">	2023	02	18	10	07	12	-59.6	2072.9	0.1
event20230218_101053_49.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_101053_49.jpg width="700" height="400">	2023	02	18	10	10	53	-54.6	2130.9	0.3
event20230218_102825_50.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_102825_50.jpg width="700" height="400">	2023	02	18	10	28	25	-50.9	2066.1	0.5
event20230218_103548_51.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_103548_51.jpg width="700" height="400">	2023	02	18	10	35	48	-51.8	2067.1	0.4
event20230218_103613_52.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_103613_52.jpg width="700" height="400">	2023	02	18	10	36	13	-60	1989.3	0.1
event20230218_104752_53.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_104752_53.jpg width="700" height="400">	2023	02	18	10	47	52	-62.2	2077.6	0.1
event20230218_105707_56.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_105707_56.jpg width="700" height="400">	2023	02	18	10	57	07	-60.7	2069.6	0.1
event20230218_105753_57.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_105753_57.jpg width="700" height="400">	2023	02	18	10	57	53	-57.8	2085.8	0.4
event20230218_110512_60.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_110512_60.jpg width="700" height="400">	2023	02	18	11	05	12	-56.2	2057.8	0.2
event20230218_111918_61.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_111918_61.jpg width="700" height="400">	2023	02	18	11	19	18	-59.2	2053.7	0.1
event20230218_111934_62.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_111934_62.jpg width="700" height="400">	2023	02	18	11	19	34	-52.5	2046.7	0.4
event20230218_113858_63.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_113858_63.jpg width="700" height="400">	2023	02	18	11	38	58	-61.3	2068.6	0.1
event20230218_115238_64.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_115238_64.jpg width="700" height="400">	2023	02	18	11	52	38	-49.3	2053.5	0.4
event20230218_115708_65.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_115708_65.jpg width="700" height="400">	2023	02	18	11	57	08	-60	2114.6	0.2
